UniProt Accession Number,Reagent Type,Target Name / Protein Biomarker,Target Species,Host Organism,Isotype,Clonality,Vendor,Catalog Number,Conjugate,RRID,Availability,Method,Tissue Preservation,Target Tissue,Tissue State,Detergent,Antigen Retrieval Conditions,Dye Inactivation Conditions,Recommend,Agree,Disagree,Contributor,Image Files,Captions,MD5
P05362,Primary Antibody,CD54,Human,Mouse,IgG1,HA58,BioLegend,353114,AF647,AB_2715942,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P05362,Primary Antibody,CD54,Human,Mouse,IgG1,HA58,BioLegend,353114,AF647,AB_2715942,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD21_AF532/Human_Spleen_CD21_CD54.jpg,"Human spleen: CD21 (red, based on catalog number 354902) and CD54 (blue, catalog number 353114)",1bdd152d09d2a235d397110be18632d7
Q9Y5Y7,Primary Antibody,LYVE-1,Human,Goat,IgG,Polyclonal,R&D Systems,AF2089,Unconjugated,AB_355144,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9Y5Y7,Primary Antibody,LYVE-1,Human,Goat,IgG,Polyclonal,R&D Systems,AF2089,Unconjugated,AB_355144,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9Y5Y7,Primary Antibody,LYVE-1,Human,Goat,IgG,Polyclonal,R&D Systems,AF2089,Unconjugated,AB_355144,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Goat IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-21432,AF555,AB_2535853,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Goat IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-21432,AF555,AB_2535853,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P56199,Primary Antibody,CD49a,Human,Mouse,IgG1,TS2/7,BioLegend,328310,AF647,AB_2129242,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,EpCAM_AF488/Human_Jejunum_EpCAM_CD49a.jpg,"Human jejunum: EpCAM (purple, catalog number 324210) and CD49a (cyan, catalog number 328310)",ea4e4c5fe3ff3354344370cb351db2ef
P56199,Primary Antibody,CD49a,Human,Mouse,IgG1,TS2/7,BioLegend,328310,AF647,AB_2129242,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD49a_AF647/Human_LN_CD49a_Vimentin.jpg,"Human lymph node: CD49a (green, catalog number 328310) and Vimentin (blue, catalog number 677804)",29962beea82207c441add96424d7dc59
P56199,Primary Antibody,CD49a,Human,Mouse,IgG1,TS2/7,BioLegend,328310,AF647,AB_2129242,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P56199,Primary Antibody,CD49a,Human,Mouse,IgG1,TS2/7,BioLegend,328310,AF647,AB_2129242,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD49a_AF647/Human_Spleen_CD49a_CD44.jpg;CD49a_AF647/Spleen_CD49a_AF647_BioLegend_328310_Fibrinogen_Unconjugated_Abcam_ab118533.jpeg,"Human spleen: CD49a (cyan, catalog number 328310) and CD44 (red, catalog number 103018);Human spleen: CD49a (cyan, catalog number 328310) and Fibrinogen (red, catalog number ab118533 and A-21102)",d99c9611072f5b7e63a347e255619186;274c0cb98d4be4f1ea6b1fc8e066fa57
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,L243,Caprico Biotechnologies,1032136,iF594,AB_2892750,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,L243,Caprico Biotechnologies,1032136,iF594,AB_2892750,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,L243,Caprico Biotechnologies,1032136,iF594,AB_2892750,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Glycophorin_A_AF555/Spleen_Glycophorin_AF555_Abcam_ab218372_HLADR_iF594_CapricoBio_1032136.jpeg,"Human spleen: HLA-DR (magenta, catalog number 1032136) and Glycophorin A (cyan, based on catalog number ab218372)",1d3f65008581a15f89d1c71d2c6cd530
NA,Primary Antibody,Cytokeratin (Pan),Human,Mouse,IgG1,AE1/AE3,Thermo Fisher Scientific,50-9003-82,eF660,AB_2574301,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P07766,Primary Antibody,CD3,Human,Mouse,IgG1,UCHT1,Caprico Biotechnologies,1053135,iF594,AB_2892737,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P07766,Primary Antibody,CD3,Human,Mouse,IgG1,UCHT1,Caprico Biotechnologies,1053135,iF594,AB_2892737,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P07766,Primary Antibody,CD3,Human,Mouse,IgG1,UCHT1,Caprico Biotechnologies,1053135,iF594,AB_2892737,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P07766,Primary Antibody,CD3,Human,Mouse,IgG1,UCHT1,Caprico Biotechnologies,1053135,iF594,AB_2892737,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P07766,Primary Antibody,CD3,Human,Mouse,IgG1,UCHT1,Caprico Biotechnologies,1053135,iF594,AB_2892737,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD3_iF594/Spleen_CD3_iF594_CapricoBio_1053135_CD8_AF488_BioLegend_344716.jpeg,"Human spleen: CD3 (red, catalog number 1053135) and CD8 (cyan, catalog number 344716)",ac59abef988bbcb728ee3cc277a406be
P08575,Primary Antibody,CD45,Human,Mouse,IgG2a,F10-89-4,Caprico Biotechnologies,1016136,iF594,AB_2892743,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P08575,Primary Antibody,CD45,Human,Mouse,IgG2a,F10-89-4,Caprico Biotechnologies,1016136,iF594,AB_2892743,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P08575,Primary Antibody,CD45,Human,Mouse,IgG2a,F10-89-4,Caprico Biotechnologies,1016136,iF594,AB_2892743,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P08575,Primary Antibody,CD45,Human,Mouse,IgG2a,F10-89-4,Caprico Biotechnologies,1016136,iF594,AB_2892743,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD45_iF594/Spleen_CD45_iF594_CapricoBio_1016136_CD31_PE_BioLegend_303106.jpeg,"Human spleen: CD45 (blue, catalog number 1016136) and CD31 (magenta, catalog number 303106)",07e0e61fdd1dbbe2a041e326d8535ce2
P01876,Primary Antibody,IgA1,Human,Mouse,IgG1,B3506B4,SouthernBiotech,9130-31,AF647,AB_2796658,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P16070,Primary Antibody,CD44,Human,Rat,IgG2b,IM7,BioLegend,103016,AF488,AB_493679,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,EpCAM_AF488/Human_Jejunum_EpCAM_CD44.jpg,"Human jejunum: EpCAM (blue, catalog number 324210) and CD44 (yellow, catalog number 103016)",1fa33eef6e1d394e8c6d8249da061838
P16070,Primary Antibody,CD44,Human,Rat,IgG2b,IM7,BioLegend,103016,AF488,AB_493679,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD21_AF532/Human_LN_CD21_CD44.jpg;CD21_AF488/Human_LN_CD21_CD44.jpg,"Human lymph node: CD21 (yellow, based on catalog number 354902) and CD44 (blue, catalog number 103016);Human lymph node: CD21 (yellow, based on catalog number 354902) and CD44 (blue, catalog number 103016)",f8e3b3da5e39bc52ee8645e390833309;57022088ccd5d81be03e9a98a106823c
P16070,Primary Antibody,CD44,Human,Rat,IgG2b,IM7,BioLegend,103016,AF488,AB_493679,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Cytokeratin_14_Unconjugated/Human_Skin_Keratin14_CD44.jpg,"Human skin: Keratin 14 (yellow, catalog number 906004 and A-32932) and CD44 (purple, catalog number 103016)",1f5a4ad6457069d0acc05e019357fef0
P62736,Primary Antibody,Alpha smooth muscle actin,Human,Mouse,IgG2a,1A4,Thermo Fisher Scientific,41-9760-82,eF570,AB_2573631,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P62736,Primary Antibody,Alpha smooth muscle actin,Human,Mouse,IgG2a,1A4,Thermo Fisher Scientific,41-9760-82,eF570,AB_2573631,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Alpha_smooth_muscle_actin_eF570/Spleen_aSMA_eF570_Thermo_41-9760-82_CD138_PE_BioLegend_356504.jpeg,"Human spleen: aSMA (cyan, catalog number 41-9760-82) and CD138 (red, catalog number 356504)",5d4b21ee58e72648557b262e92cd55d1
P08670,Primary Antibody,Vimentin,Human,Mouse,IgG2a,O91D3,BioLegend,677807,AF647,AB_2616801,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD54_AF647/Human_Jejunum_Hoechst_CD54_Vimentin.jpg,"Human jejunum: Hoechst (blue, catalog number 40046), CD54 (green, catalog number 353114), and Vimentin (magenta, catalog number 677807)",48f2b7e03aabbc449c1854fc48748331
P08670,Primary Antibody,Vimentin,Human,Mouse,IgG2a,O91D3,BioLegend,677807,AF647,AB_2616801,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Vimentin_AF647/Human_Kidney_Hoechst_Vimentin.jpg,"Human kidney: Hoechst (blue, catalog number 40046) and Vimentin (magenta, catalog number 677807)",7499249110a0cc42f166ebde27242125
P08670,Primary Antibody,Vimentin,Human,Mouse,IgG2a,O91D3,BioLegend,677807,AF647,AB_2616801,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,HLA-DR_AF488/Human_Liver_HLADR_Vimentin.jpg,"Human liver: HLA-DR (cyan, catalog number 307620) and Vimentin (red, catalog number 677807)",a970860afbce6c2871c9a35229d03032
P61626,Primary Antibody,Lysozyme,Human,Rabbit,IgG,Polyclonal,Abcam,ab2408,Unconjugated,AB_303050,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Rabbit IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-21206,AF488,AB_2535792,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Rabbit IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-21206,AF488,AB_2535792,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P34810,Primary Antibody,CD68,Human,Mouse,IgG1,KP1,Caprico Biotechnologies,1064135,iF594,AB_2892745,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P34810,Primary Antibody,CD68,Human,Mouse,IgG1,KP1,Caprico Biotechnologies,1064135,iF594,AB_2892745,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P34810,Primary Antibody,CD68,Human,Mouse,IgG1,KP1,Caprico Biotechnologies,1064135,iF594,AB_2892745,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P34810,Primary Antibody,CD68,Human,Mouse,IgG1,KP1,Caprico Biotechnologies,1064135,iF594,AB_2892745,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P34810,Primary Antibody,CD68,Human,Mouse,IgG1,KP1,Caprico Biotechnologies,1064135,iF594,AB_2892745,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD68_iF594/Spleen_CD44_AF647_BioLegend_103018_CD68_iF594_CapricoBio_1064135.jpeg,"Human spleen: CD44 (cyan, catalog number X) and CD68 (magenta, catalog number 1064135)",2c16459e82c953c0a19987123cd59f2b
Q13509,Primary Antibody,Tubulin beta-3 chain,Human,Mouse,IgG2a,TUJ1,BioLegend,801203,AF488,AB_2564757,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Tubulin_beta-3_chain_AF488/Human_Jejunum_BTub3_CD138.jpg,"Human jejunum: Beta-tubulin 3 (yellow, catalog number 801203) and CD138 (purple, catalog number 356504)",b3d3df61d01f1be932d2c480fdac141e
P16284,Primary Antibody,CD31,Human,Mouse,IgG1,WM59,BioLegend,303106,PE,AB_314332,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Hoechst_33342_NA/Human_Jejunum_Hoechst_CD106_CD31.jpg,"Human jejunum: Hoechst (blue, catalog number 40046), CD106 (cyan, catalog number 305806), and CD31 (red, catalog number 303106)",5b1dce343fdc5ec7f5c4a5dda52aded5
P16284,Primary Antibody,CD31,Human,Mouse,IgG1,WM59,BioLegend,303106,PE,AB_314332,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD4_AF647/Human_LN_CD4_CD31.jpg,"Human lymph node: CD4 (cyan, catalog number 300520) and CD31 (magenta, catalog number 303106)",3757b69d52b944f972136bbfce270a32
P16284,Primary Antibody,CD31,Human,Mouse,IgG1,WM59,BioLegend,303106,PE,AB_314332,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P16284,Primary Antibody,CD31,Human,Mouse,IgG1,WM59,BioLegend,303106,PE,AB_314332,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD163_AF532/Human_Spleen_CD163_CD31.jpg,"Human spleen: CD163 (yellow, based on catalog number 333602) and CD31 (blue, catalog number 303106)",755271de591bd9bbf0dbc11a07cd990e
P01732,Primary Antibody,CD8,Human,Mouse,IgG1,SK1,BioLegend,344716,AF488,AB_10549301,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
